Year,County,PQI,PQIDescription,Count_ICD10,Population_ICD10,ObsRate_ICD10
2020,Orange,93,Diabetes Composite,"3,424","2,500,521",136.9
2021,Orange,93,Diabetes Composite,"3,553","2,492,420",142.6
2022,Orange,93,Diabetes Composite,"3,969","2,496,667",159.0
2016,Placer,1,Diabetes Short-term Complications,118,"293,620",40.2
2017,Placer,1,Diabetes Short-term Complications,113,"299,061",37.8
2018,Placer,1,Diabetes Short-term Complications,139,"305,287",45.5
2019,Placer,1,Diabetes Short-term Complications,120,"310,947",38.6
2020,Placer,1,Diabetes Short-term Complications,125,"316,575",39.5
2021,Placer,1,Diabetes Short-term Complications,148,"323,151",45.8
2022,Placer,1,Diabetes Short-term Complications,135,"327,593",41.2
2016,Placer,3,Diabetes Long-term Complications,128,"293,620",43.6
2017,Placer,3,Diabetes Long-term Complications,159,"299,061",53.2
2018,Placer,3,Diabetes Long-term Complications,166,"305,287",54.4
2019,Placer,3,Diabetes Long-term Complications,152,"310,947",48.9
2020,Placer,3,Diabetes Long-term Complications,134,"316,575",42.3
2021,Placer,3,Diabetes Long-term Complications,171,"323,151",52.9
2022,Placer,3,Diabetes Long-term Complications,204,"327,593",62.3
2016,Placer,14,Uncontrolled Diabetes,62,"293,620",21.1
2017,Placer,14,Uncontrolled Diabetes,50,"299,061",16.7
2018,Placer,14,Uncontrolled Diabetes,43,"305,287",14.1
2019,Placer,14,Uncontrolled Diabetes,55,"310,947",17.7
2020,Placer,14,Uncontrolled Diabetes,50,"316,575",15.8
2021,Placer,14,Uncontrolled Diabetes,55,"323,151",17.0
2022,Placer,14,Uncontrolled Diabetes,55,"327,593",16.8
2016,Placer,93,Diabetes Composite,341,"293,620",116.1
2017,Placer,93,Diabetes Composite,351,"299,061",117.4
2018,Placer,93,Diabetes Composite,379,"305,287",124.1
2019,Placer,93,Diabetes Composite,368,"310,947",118.3
2020,Placer,93,Diabetes Composite,346,"316,575",109.3
2021,Placer,93,Diabetes Composite,427,"323,151",132.1
2022,Placer,93,Diabetes Composite,427,"327,593",130.3
2016,Plumas,1,Diabetes Short-term Complications,6,"15,495",38.7
2017,Plumas,1,Diabetes Short-term Complications,5,"15,483",32.3
2018,Plumas,1,Diabetes Short-term Complications,4,"15,597",25.6
2019,Plumas,1,Diabetes Short-term Complications,2,"15,757",12.7
2020,Plumas,1,Diabetes Short-term Complications,6,"16,254",36.9
2021,Plumas,1,Diabetes Short-term Complications,8,"16,481",48.5
2022,Plumas,1,Diabetes Short-term Complications,8,"16,081",49.7
2016,Plumas,3,Diabetes Long-term Complications,11,"15,495",71.0
2017,Plumas,3,Diabetes Long-term Complications,7,"15,483",45.2
2018,Plumas,3,Diabetes Long-term Complications,8,"15,597",51.3
2019,Plumas,3,Diabetes Long-term Complications,11,"15,757",69.8
2020,Plumas,3,Diabetes Long-term Complications,8,"16,254",49.2
2021,Plumas,3,Diabetes Long-term Complications,5,"16,481",30.3
2022,Plumas,3,Diabetes Long-term Complications,7,"16,081",43.5
2016,Plumas,14,Uncontrolled Diabetes,3,"15,495",19.4
2017,Plumas,14,Uncontrolled Diabetes,4,"15,483",25.8
2018,Plumas,14,Uncontrolled Diabetes,3,"15,597",19.2
2019,Plumas,14,Uncontrolled Diabetes,7,"15,757",44.4
2020,Plumas,14,Uncontrolled Diabetes,9,"16,254",55.4
2021,Plumas,14,Uncontrolled Diabetes,0,"16,481",0.0
2022,Plumas,14,Uncontrolled Diabetes,2,"16,081",12.4
2016,Plumas,93,Diabetes Composite,21,"15,495",135.5
2017,Plumas,93,Diabetes Composite,17,"15,483",109.8
2018,Plumas,93,Diabetes Composite,17,"15,597",109.0
2019,Plumas,93,Diabetes Composite,24,"15,757",152.3
2020,Plumas,93,Diabetes Composite,24,"16,254",147.7
2021,Plumas,93,Diabetes Composite,13,"16,481",78.9
2022,Plumas,93,Diabetes Composite,19,"16,081",118.2
2016,Riverside,1,Diabetes Short-term Complications,"1,245","1,764,865",70.5
2017,Riverside,1,Diabetes Short-term Complications,"1,167","1,797,423",64.9
2018,Riverside,1,Diabetes Short-term Complications,"1,307","1,827,877",71.5
2019,Riverside,1,Diabetes Short-term Complications,"1,351","1,852,582",72.9
2020,Riverside,1,Diabetes Short-term Complications,"1,317","1,826,892",72.1
2021,Riverside,1,Diabetes Short-term Complications,"1,472","1,856,272",79.3
2022,Riverside,1,Diabetes Short-term Complications,"1,476","1,880,349",78.5
2016,Riverside,3,Diabetes Long-term Complications,"1,585","1,764,865",89.8
2017,Riverside,3,Diabetes Long-term Complications,"1,831","1,797,423",101.9
2018,Riverside,3,Diabetes Long-term Complications,"1,950","1,827,877",106.7
2019,Riverside,3,Diabetes Long-term Complications,"2,099","1,852,582",113.3
2020,Riverside,3,Diabetes Long-term Complications,"1,865","1,826,892",102.1
2021,Riverside,3,Diabetes Long-term Complications,"1,935","1,856,272",104.2
2022,Riverside,3,Diabetes Long-term Complications,"2,157","1,880,349",114.7
2016,Riverside,14,Uncontrolled Diabetes,640,"1,764,865",36.3
2017,Riverside,14,Uncontrolled Diabetes,509,"1,797,423",28.3
2018,Riverside,14,Uncontrolled Diabetes,525,"1,827,877",28.7
2019,Riverside,14,Uncontrolled Diabetes,557,"1,852,582",30.1
2020,Riverside,14,Uncontrolled Diabetes,451,"1,826,892",24.7
2021,Riverside,14,Uncontrolled Diabetes,494,"1,856,272",26.6
2022,Riverside,14,Uncontrolled Diabetes,537,"1,880,349",28.6
2016,Riverside,93,Diabetes Composite,"3,718","1,764,865",210.7
2017,Riverside,93,Diabetes Composite,"3,710","1,797,423",206.4
2018,Riverside,93,Diabetes Composite,"4,002","1,827,877",218.9
2019,Riverside,93,Diabetes Composite,"4,231","1,852,582",228.4
2020,Riverside,93,Diabetes Composite,"3,872","1,826,892",211.9
2021,Riverside,93,Diabetes Composite,"4,169","1,856,272",224.6
2022,Riverside,93,Diabetes Composite,"4,467","1,880,349",237.6
2016,Sacramento,1,Diabetes Short-term Complications,"1,025","1,147,725",89.3
2017,Sacramento,1,Diabetes Short-term Complications,"1,024","1,163,101",88.0
2018,Sacramento,1,Diabetes Short-term Complications,"1,095","1,175,207",93.2
2019,Sacramento,1,Diabetes Short-term Complications,"1,024","1,187,953",86.2
2020,Sacramento,1,Diabetes Short-term Complications,"1,052","1,219,067",86.3
2021,Sacramento,1,Diabetes Short-term Complications,"1,011","1,224,233",82.6
2022,Sacramento,1,Diabetes Short-term Complications,"1,110","1,225,015",90.6
2016,Sacramento,3,Diabetes Long-term Complications,897,"1,147,725",78.2
2017,Sacramento,3,Diabetes Long-term Complications,"1,069","1,163,101",91.9
2018,Sacramento,3,Diabetes Long-term Complications,"1,079","1,175,207",91.8
2019,Sacramento,3,Diabetes Long-term Complications,983,"1,187,953",82.7
2020,Sacramento,3,Diabetes Long-term Complications,932,"1,219,067",76.5
2021,Sacramento,3,Diabetes Long-term Complications,"1,016","1,224,233",83.0
2022,Sacramento,3,Diabetes Long-term Complications,"1,054","1,225,015",86.0
2016,Sacramento,14,Uncontrolled Diabetes,323,"1,147,725",28.1
2017,Sacramento,14,Uncontrolled Diabetes,329,"1,163,101",28.3
2018,Sacramento,14,Uncontrolled Diabetes,326,"1,175,207",27.7
2019,Sacramento,14,Uncontrolled Diabetes,328,"1,187,953",27.6
2020,Sacramento,14,Uncontrolled Diabetes,278,"1,219,067",22.8
2021,Sacramento,14,Uncontrolled Diabetes,314,"1,224,233",25.6
2022,Sacramento,14,Uncontrolled Diabetes,304,"1,225,015",24.8
2016,Sacramento,93,Diabetes Composite,"2,497","1,147,725",217.6
2017,Sacramento,93,Diabetes Composite,"2,647","1,163,101",227.6
2018,Sacramento,93,Diabetes Composite,"2,738","1,175,207",233.0
2019,Sacramento,93,Diabetes Composite,"2,567","1,187,953",216.1
2020,Sacramento,93,Diabetes Composite,"2,555","1,219,067",209.6
2021,Sacramento,93,Diabetes Composite,"2,594","1,224,233",211.9
2022,Sacramento,93,Diabetes Composite,"2,739","1,225,015",223.6
2016,San Benito,1,Diabetes Short-term Complications,20,"43,752",45.7
2017,San Benito,1,Diabetes Short-term Complications,23,"44,628",51.5
2018,San Benito,1,Diabetes Short-term Complications,35,"45,599",76.8
2019,San Benito,1,Diabetes Short-term Complications,27,"46,798",57.7
2020,San Benito,1,Diabetes Short-term Complications,21,"48,106",43.7
2021,San Benito,1,Diabetes Short-term Complications,31,"49,790",62.3
2022,San Benito,1,Diabetes Short-term Complications,31,"50,683",61.2
2016,San Benito,3,Diabetes Long-term Complications,43,"43,752",98.3
2017,San Benito,3,Diabetes Long-term Complications,40,"44,628",89.6
2018,San Benito,3,Diabetes Long-term Complications,57,"45,599",125.0
2019,San Benito,3,Diabetes Long-term Complications,71,"46,798",151.7
2020,San Benito,3,Diabetes Long-term Complications,44,"48,106",91.5
2021,San Benito,3,Diabetes Long-term Complications,42,"49,790",84.4
2022,San Benito,3,Diabetes Long-term Complications,45,"50,683",88.8
2016,San Benito,14,Uncontrolled Diabetes,10,"43,752",22.9
2017,San Benito,14,Uncontrolled Diabetes,10,"44,628",22.4
2018,San Benito,14,Uncontrolled Diabetes,11,"45,599",24.1
2019,San Benito,14,Uncontrolled Diabetes,9,"46,798",19.2
2020,San Benito,14,Uncontrolled Diabetes,5,"48,106",10.4
2021,San Benito,14,Uncontrolled Diabetes,6,"49,790",12.1
2022,San Benito,14,Uncontrolled Diabetes,16,"50,683",31.6
2016,San Benito,93,Diabetes Composite,78,"43,752",178.3
2017,San Benito,93,Diabetes Composite,79,"44,628",177.0
2018,San Benito,93,Diabetes Composite,109,"45,599",239.0
2019,San Benito,93,Diabetes Composite,115,"46,798",245.7
2020,San Benito,93,Diabetes Composite,80,"48,106",166.3
2021,San Benito,93,Diabetes Composite,94,"49,790",188.8
2022,San Benito,93,Diabetes Composite,100,"50,683",197.3
2016,San Bernardino,1,Diabetes Short-term Complications,"1,381","1,558,038",88.6
2017,San Bernardino,1,Diabetes Short-term Complications,"1,437","1,577,430",91.1
2018,San Bernardino,1,Diabetes Short-term Complications,"1,465","1,594,421",91.9
2019,San Bernardino,1,Diabetes Short-term Complications,"1,477","1,607,856",91.9
2020,San Bernardino,1,Diabetes Short-term Complications,"1,549","1,616,879",95.8
2021,San Bernardino,1,Diabetes Short-term Complications,"1,721","1,630,166",105.6
2022,San Bernardino,1,Diabetes Short-term Complications,"1,799","1,635,914",110.0
2016,San Bernardino,3,Diabetes Long-term Complications,"1,653","1,558,038",106.1
2017,San Bernardino,3,Diabetes Long-term Complications,"2,055","1,577,430",130.3
2018,San Bernardino,3,Diabetes Long-term Complications,"1,970","1,594,421",123.6
2019,San Bernardino,3,Diabetes Long-term Complications,"2,088","1,607,856",129.9
2020,San Bernardino,3,Diabetes Long-term Complications,"1,809","1,616,879",111.9
2021,San Bernardino,3,Diabetes Long-term Complications,"1,962","1,630,166",120.4
2022,San Bernardino,3,Diabetes Long-term Complications,"1,997","1,635,914",122.1
2016,San Bernardino,14,Uncontrolled Diabetes,695,"1,558,038",44.6
2017,San Bernardino,14,Uncontrolled Diabetes,657,"1,577,430",41.7
2018,San Bernardino,14,Uncontrolled Diabetes,674,"1,594,421",42.3
2019,San Bernardino,14,Uncontrolled Diabetes,599,"1,607,856",37.3
2020,San Bernardino,14,Uncontrolled Diabetes,505,"1,616,879",31.2
2021,San Bernardino,14,Uncontrolled Diabetes,460,"1,630,166",28.2
2022,San Bernardino,14,Uncontrolled Diabetes,543,"1,635,914",33.2
2016,San Bernardino,93,Diabetes Composite,"3,955","1,558,038",253.8
2017,San Bernardino,93,Diabetes Composite,"4,341","1,577,430",275.2
2018,San Bernardino,93,Diabetes Composite,"4,349","1,594,421",272.8
2019,San Bernardino,93,Diabetes Composite,"4,420","1,607,856",274.9
2020,San Bernardino,93,Diabetes Composite,"4,139","1,616,879",256.0
2021,San Bernardino,93,Diabetes Composite,"4,419","1,630,166",271.1
2022,San Bernardino,93,Diabetes Composite,"4,663","1,635,914",285.0
2016,San Diego,1,Diabetes Short-term Complications,"1,290","2,578,429",50.0
2017,San Diego,1,Diabetes Short-term Complications,"1,221","2,594,503",47.1
2018,San Diego,1,Diabetes Short-term Complications,"1,257","2,613,158",48.1
2019,San Diego,1,Diabetes Short-term Complications,"1,336","2,617,719",51.0
2020,San Diego,1,Diabetes Short-term Complications,"1,287","2,596,212",49.6
2021,San Diego,1,Diabetes Short-term Complications,"1,472","2,586,078",56.9
2022,San Diego,1,Diabetes Short-term Complications,"1,616","2,596,582",62.2
2016,San Diego,3,Diabetes Long-term Complications,"1,906","2,578,429",73.9
2017,San Diego,3,Diabetes Long-term Complications,"2,082","2,594,503",80.2
2018,San Diego,3,Diabetes Long-term Complications,"2,200","2,613,158",84.2
2019,San Diego,3,Diabetes Long-term Complications,"2,468","2,617,719",94.3
2020,San Diego,3,Diabetes Long-term Complications,"2,195","2,596,212",84.5
2021,San Diego,3,Diabetes Long-term Complications,"2,348","2,586,078",90.8
2022,San Diego,3,Diabetes Long-term Complications,"2,591","2,596,582",99.8
2016,San Diego,14,Uncontrolled Diabetes,643,"2,578,429",24.9
2017,San Diego,14,Uncontrolled Diabetes,657,"2,594,503",25.3
2018,San Diego,14,Uncontrolled Diabetes,642,"2,613,158",24.6
2019,San Diego,14,Uncontrolled Diabetes,660,"2,617,719",25.2
2020,San Diego,14,Uncontrolled Diabetes,547,"2,596,212",21.1
2021,San Diego,14,Uncontrolled Diabetes,640,"2,586,078",24.7
2022,San Diego,14,Uncontrolled Diabetes,683,"2,596,582",26.3
2016,San Diego,93,Diabetes Composite,"4,120","2,578,429",159.8
2017,San Diego,93,Diabetes Composite,"4,203","2,594,503",162.0
2018,San Diego,93,Diabetes Composite,"4,399","2,613,158",168.3
2019,San Diego,93,Diabetes Composite,"4,760","2,617,719",181.8
2020,San Diego,93,Diabetes Composite,"4,296","2,596,212",165.5
2021,San Diego,93,Diabetes Composite,"4,730","2,586,078",182.9
2022,San Diego,93,Diabetes Composite,"5,217","2,596,582",200.9
2016,San Francisco,1,Diabetes Short-term Complications,328,"754,286",43.5
2017,San Francisco,1,Diabetes Short-term Complications,254,"759,469",33.4
2018,San Francisco,1,Diabetes Short-term Complications,286,"761,819",37.5
2019,San Francisco,1,Diabetes Short-term Complications,303,"761,456",39.8
2020,San Francisco,1,Diabetes Short-term Complications,302,"753,211",40.1
2021,San Francisco,1,Diabetes Short-term Complications,292,"698,408",41.8
2022,San Francisco,1,Diabetes Short-term Complications,309,"697,737",44.3
2016,San Francisco,3,Diabetes Long-term Complications,309,"754,286",41.0
2017,San Francisco,3,Diabetes Long-term Complications,378,"759,469",49.8
2018,San Francisco,3,Diabetes Long-term Complications,362,"761,819",47.5
2019,San Francisco,3,Diabetes Long-term Complications,354,"761,456",46.5
2020,San Francisco,3,Diabetes Long-term Complications,313,"753,211",41.6
2021,San Francisco,3,Diabetes Long-term Complications,346,"698,408",49.5
2022,San Francisco,3,Diabetes Long-term Complications,412,"697,737",59.0
2016,San Francisco,14,Uncontrolled Diabetes,182,"754,286",24.1
2017,San Francisco,14,Uncontrolled Diabetes,152,"759,469",20.0
2018,San Francisco,14,Uncontrolled Diabetes,158,"761,819",20.7
2019,San Francisco,14,Uncontrolled Diabetes,126,"761,456",16.5
2020,San Francisco,14,Uncontrolled Diabetes,163,"753,211",21.6
2021,San Francisco,14,Uncontrolled Diabetes,162,"698,408",23.2
2022,San Francisco,14,Uncontrolled Diabetes,151,"697,737",21.6
2016,San Francisco,93,Diabetes Composite,879,"754,286",116.5
2017,San Francisco,93,Diabetes Composite,833,"759,469",109.7
2018,San Francisco,93,Diabetes Composite,870,"761,819",114.2
2019,San Francisco,93,Diabetes Composite,842,"761,456",110.6
2020,San Francisco,93,Diabetes Composite,844,"753,211",112.1
2021,San Francisco,93,Diabetes Composite,859,"698,408",123.0
2022,San Francisco,93,Diabetes Composite,936,"697,737",134.1
2016,San Joaquin,1,Diabetes Short-term Complications,437,"531,056",82.3
2017,San Joaquin,1,Diabetes Short-term Complications,437,"539,928",80.9
2018,San Joaquin,1,Diabetes Short-term Complications,424,"548,488",77.3
2019,San Joaquin,1,Diabetes Short-term Complications,477,"557,068",85.6
2020,San Joaquin,1,Diabetes Short-term Complications,555,"572,510",96.9
2021,San Joaquin,1,Diabetes Short-term Complications,618,"580,225",106.5
2022,San Joaquin,1,Diabetes Short-term Complications,595,"586,031",101.5
2016,San Joaquin,3,Diabetes Long-term Complications,381,"531,056",71.7
2017,San Joaquin,3,Diabetes Long-term Complications,449,"539,928",83.2
2018,San Joaquin,3,Diabetes Long-term Complications,462,"548,488",84.2
2019,San Joaquin,3,Diabetes Long-term Complications,531,"557,068",95.3
2020,San Joaquin,3,Diabetes Long-term Complications,501,"572,510",87.5
2021,San Joaquin,3,Diabetes Long-term Complications,540,"580,225",93.1
2022,San Joaquin,3,Diabetes Long-term Complications,526,"586,031",89.8
2016,San Joaquin,14,Uncontrolled Diabetes,213,"531,056",40.1
2017,San Joaquin,14,Uncontrolled Diabetes,182,"539,928",33.7
2018,San Joaquin,14,Uncontrolled Diabetes,205,"548,488",37.4
2019,San Joaquin,14,Uncontrolled Diabetes,204,"557,068",36.6
2020,San Joaquin,14,Uncontrolled Diabetes,155,"572,510",27.1
2021,San Joaquin,14,Uncontrolled Diabetes,179,"580,225",30.9
2022,San Joaquin,14,Uncontrolled Diabetes,190,"586,031",32.4
2016,San Joaquin,93,Diabetes Composite,"1,146","531,056",215.8
2017,San Joaquin,93,Diabetes Composite,"1,146","539,928",212.3
2018,San Joaquin,93,Diabetes Composite,"1,223","548,488",223.0
2019,San Joaquin,93,Diabetes Composite,"1,340","557,068",240.5
2020,San Joaquin,93,Diabetes Composite,"1,344","572,510",234.8
2021,San Joaquin,93,Diabetes Composite,"1,456","580,225",250.9
2022,San Joaquin,93,Diabetes Composite,"1,458","586,031",248.8
2016,San Luis Obispo,1,Diabetes Short-term Complications,129,"231,170",55.8
2017,San Luis Obispo,1,Diabetes Short-term Complications,120,"232,214",51.7
2018,San Luis Obispo,1,Diabetes Short-term Complications,117,"233,392",50.1
2019,San Luis Obispo,1,Diabetes Short-term Complications,123,"233,238",52.7
2020,San Luis Obispo,1,Diabetes Short-term Complications,139,"232,664",59.7
2021,San Luis Obispo,1,Diabetes Short-term Complications,115,"230,595",49.9
2022,San Luis Obispo,1,Diabetes Short-term Complications,120,"234,072",51.3
2016,San Luis Obispo,3,Diabetes Long-term Complications,81,"231,170",35.0
2017,San Luis Obispo,3,Diabetes Long-term Complications,125,"232,214",53.8
2018,San Luis Obispo,3,Diabetes Long-term Complications,94,"233,392",40.3
2019,San Luis Obispo,3,Diabetes Long-term Complications,132,"233,238",56.6
2020,San Luis Obispo,3,Diabetes Long-term Complications,127,"232,664",54.6
2021,San Luis Obispo,3,Diabetes Long-term Complications,137,"230,595",59.4
2022,San Luis Obispo,3,Diabetes Long-term Complications,161,"234,072",68.8
2016,San Luis Obispo,14,Uncontrolled Diabetes,38,"231,170",16.4
2017,San Luis Obispo,14,Uncontrolled Diabetes,34,"232,214",14.6
2018,San Luis Obispo,14,Uncontrolled Diabetes,34,"233,392",14.6
2019,San Luis Obispo,14,Uncontrolled Diabetes,32,"233,238",13.7
2020,San Luis Obispo,14,Uncontrolled Diabetes,27,"232,664",11.6
2021,San Luis Obispo,14,Uncontrolled Diabetes,35,"230,595",15.2
2022,San Luis Obispo,14,Uncontrolled Diabetes,37,"234,072",15.8
2016,San Luis Obispo,93,Diabetes Composite,282,"231,170",122.0
2017,San Luis Obispo,93,Diabetes Composite,296,"232,214",127.5
2018,San Luis Obispo,93,Diabetes Composite,266,"233,392",114.0
2019,San Luis Obispo,93,Diabetes Composite,302,"233,238",129.5
2020,San Luis Obispo,93,Diabetes Composite,309,"232,664",132.8
2021,San Luis Obispo,93,Diabetes Composite,308,"230,595",133.6
2022,San Luis Obispo,93,Diabetes Composite,330,"234,072",141.0
2016,San Mateo,1,Diabetes Short-term Complications,189,"606,370",31.2
2017,San Mateo,1,Diabetes Short-term Complications,170,"609,125",27.9
2018,San Mateo,1,Diabetes Short-term Complications,207,"611,107",33.9
2019,San Mateo,1,Diabetes Short-term Complications,201,"610,464",32.9
2020,San Mateo,1,Diabetes Short-term Complications,187,"610,380",30.6
2021,San Mateo,1,Diabetes Short-term Complications,199,"594,122",33.5
2022,San Mateo,1,Diabetes Short-term Complications,213,"588,683",36.2
2016,San Mateo,3,Diabetes Long-term Complications,241,"606,370",39.7
2017,San Mateo,3,Diabetes Long-term Complications,251,"609,125",41.2
2018,San Mateo,3,Diabetes Long-term Complications,277,"611,107",45.3
2019,San Mateo,3,Diabetes Long-term Complications,301,"610,464",49.3
2020,San Mateo,3,Diabetes Long-term Complications,252,"610,380",41.3
2021,San Mateo,3,Diabetes Long-term Complications,266,"594,122",44.8
2022,San Mateo,3,Diabetes Long-term Complications,316,"588,683",53.7
2016,San Mateo,14,Uncontrolled Diabetes,98,"606,370",16.2
2017,San Mateo,14,Uncontrolled Diabetes,93,"609,125",15.3
2018,San Mateo,14,Uncontrolled Diabetes,97,"611,107",15.9
2019,San Mateo,14,Uncontrolled Diabetes,87,"610,464",14.3
2020,San Mateo,14,Uncontrolled Diabetes,78,"610,380",12.8
2021,San Mateo,14,Uncontrolled Diabetes,89,"594,122",15.0
2022,San Mateo,14,Uncontrolled Diabetes,106,"588,683",18.0
2016,San Mateo,93,Diabetes Composite,573,"606,370",94.5
2017,San Mateo,93,Diabetes Composite,545,"609,125",89.5
2018,San Mateo,93,Diabetes Composite,612,"611,107",100.1
2019,San Mateo,93,Diabetes Composite,632,"610,464",103.5
2020,San Mateo,93,Diabetes Composite,556,"610,380",91.1
2021,San Mateo,93,Diabetes Composite,599,"594,122",100.8
2022,San Mateo,93,Diabetes Composite,685,"588,683",116.4
2016,Santa Barbara,1,Diabetes Short-term Complications,148,"344,335",43.0
2017,Santa Barbara,1,Diabetes Short-term Complications,145,"345,601",42.0
2018,Santa Barbara,1,Diabetes Short-term Complications,170,"346,132",49.1
2019,Santa Barbara,1,Diabetes Short-term Complications,191,"346,808",55.1
2020,Santa Barbara,1,Diabetes Short-term Complications,203,"349,310",58.1
2021,Santa Barbara,1,Diabetes Short-term Complications,180,"339,478",53.0
2022,Santa Barbara,1,Diabetes Short-term Complications,167,"346,432",48.2
2016,Santa Barbara,3,Diabetes Long-term Complications,139,"344,335",40.4
2017,Santa Barbara,3,Diabetes Long-term Complications,158,"345,601",45.7
2018,Santa Barbara,3,Diabetes Long-term Complications,170,"346,132",49.1
2019,Santa Barbara,3,Diabetes Long-term Complications,206,"346,808",59.4
2020,Santa Barbara,3,Diabetes Long-term Complications,204,"349,310",58.4
2021,Santa Barbara,3,Diabetes Long-term Complications,246,"339,478",72.5
2022,Santa Barbara,3,Diabetes Long-term Complications,224,"346,432",64.7
2016,Santa Barbara,14,Uncontrolled Diabetes,73,"344,335",21.2
2017,Santa Barbara,14,Uncontrolled Diabetes,57,"345,601",16.5
2018,Santa Barbara,14,Uncontrolled Diabetes,65,"346,132",18.8
2019,Santa Barbara,14,Uncontrolled Diabetes,67,"346,808",19.3
2020,Santa Barbara,14,Uncontrolled Diabetes,51,"349,310",14.6
2021,Santa Barbara,14,Uncontrolled Diabetes,57,"339,478",16.8
2022,Santa Barbara,14,Uncontrolled Diabetes,59,"346,432",17.0
2016,Santa Barbara,93,Diabetes Composite,405,"344,335",117.6
2017,Santa Barbara,93,Diabetes Composite,377,"345,601",109.1
2018,Santa Barbara,93,Diabetes Composite,427,"346,132",123.4
2019,Santa Barbara,93,Diabetes Composite,500,"346,808",144.2
2020,Santa Barbara,93,Diabetes Composite,491,"349,310",140.6
2021,Santa Barbara,93,Diabetes Composite,512,"339,478",150.8
2022,Santa Barbara,93,Diabetes Composite,471,"346,432",136.0
2016,Santa Clara,1,Diabetes Short-term Complications,587,"1,493,296",39.3
2017,Santa Clara,1,Diabetes Short-term Complications,596,"1,501,944",39.7
2018,Santa Clara,1,Diabetes Short-term Complications,546,"1,508,214",36.2
2019,Santa Clara,1,Diabetes Short-term Complications,549,"1,507,624",36.4
2020,Santa Clara,1,Diabetes Short-term Complications,554,"1,520,713",36.4
2021,Santa Clara,1,Diabetes Short-term Complications,578,"1,493,505",38.7
2022,Santa Clara,1,Diabetes Short-term Complications,626,"1,490,785",42.0
2016,Santa Clara,3,Diabetes Long-term Complications,798,"1,493,296",53.4
2017,Santa Clara,3,Diabetes Long-term Complications,924,"1,501,944",61.5
2018,Santa Clara,3,Diabetes Long-term Complications,768,"1,508,214",50.9
2019,Santa Clara,3,Diabetes Long-term Complications,916,"1,507,624",60.8
2020,Santa Clara,3,Diabetes Long-term Complications,828,"1,520,713",54.4
2021,Santa Clara,3,Diabetes Long-term Complications,799,"1,493,505",53.5
2022,Santa Clara,3,Diabetes Long-term Complications,914,"1,490,785",61.3
2016,Santa Clara,14,Uncontrolled Diabetes,344,"1,493,296",23.0
2017,Santa Clara,14,Uncontrolled Diabetes,377,"1,501,944",25.1
2018,Santa Clara,14,Uncontrolled Diabetes,325,"1,508,214",21.5
2019,Santa Clara,14,Uncontrolled Diabetes,323,"1,507,624",21.4
2020,Santa Clara,14,Uncontrolled Diabetes,300,"1,520,713",19.7
2021,Santa Clara,14,Uncontrolled Diabetes,331,"1,493,505",22.2
2022,Santa Clara,14,Uncontrolled Diabetes,324,"1,490,785",21.7
2016,Santa Clara,93,Diabetes Composite,"1,891","1,493,296",126.6
2017,Santa Clara,93,Diabetes Composite,"2,058","1,501,944",137.0
2018,Santa Clara,93,Diabetes Composite,"1,792","1,508,214",118.8
2019,Santa Clara,93,Diabetes Composite,"1,934","1,507,624",128.3
2020,Santa Clara,93,Diabetes Composite,"1,873","1,520,713",123.2
2021,Santa Clara,93,Diabetes Composite,"1,869","1,493,505",125.1
2022,Santa Clara,93,Diabetes Composite,"2,044","1,490,785",137.1
2016,Santa Cruz,1,Diabetes Short-term Complications,100,"220,533",45.3
2017,Santa Cruz,1,Diabetes Short-term Complications,97,"221,467",43.8
2018,Santa Cruz,1,Diabetes Short-term Complications,82,"221,191",37.1
2019,Santa Cruz,1,Diabetes Short-term Complications,88,"221,177",39.8
2020,Santa Cruz,1,Diabetes Short-term Complications,86,"219,748",39.1
2021,Santa Cruz,1,Diabetes Short-term Complications,93,"211,376",44.0
2022,Santa Cruz,1,Diabetes Short-term Complications,94,"216,642",43.4
2016,Santa Cruz,3,Diabetes Long-term Complications,116,"220,533",52.6
2017,Santa Cruz,3,Diabetes Long-term Complications,150,"221,467",67.7
2018,Santa Cruz,3,Diabetes Long-term Complications,115,"221,191",52.0
2019,Santa Cruz,3,Diabetes Long-term Complications,138,"221,177",62.4
2020,Santa Cruz,3,Diabetes Long-term Complications,114,"219,748",51.9
2021,Santa Cruz,3,Diabetes Long-term Complications,152,"211,376",71.9
2022,Santa Cruz,3,Diabetes Long-term Complications,152,"216,642",70.2
2016,Santa Cruz,14,Uncontrolled Diabetes,54,"220,533",24.5
2017,Santa Cruz,14,Uncontrolled Diabetes,52,"221,467",23.5
2018,Santa Cruz,14,Uncontrolled Diabetes,38,"221,191",17.2
2019,Santa Cruz,14,Uncontrolled Diabetes,52,"221,177",23.5
2020,Santa Cruz,14,Uncontrolled Diabetes,37,"219,748",16.8
2021,Santa Cruz,14,Uncontrolled Diabetes,39,"211,376",18.5
2022,Santa Cruz,14,Uncontrolled Diabetes,36,"216,642",16.6
2016,Santa Cruz,93,Diabetes Composite,290,"220,533",131.5
2017,Santa Cruz,93,Diabetes Composite,307,"221,467",138.6
2018,Santa Cruz,93,Diabetes Composite,262,"221,191",118.4
2019,Santa Cruz,93,Diabetes Composite,306,"221,177",138.4
2020,Santa Cruz,93,Diabetes Composite,261,"219,748",118.8
